Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1783497,ROUND,0.3,VVS1,K,VG,EX,VG,N,4.36-4.40×2.59,826.78
1763841,ROUND,0.23,VS2,E,EX,EX,EX,N,3.95-3.97×2.42,951.72
1763837,ROUND,0.23,VS2,E,EX,EX,EX,N,3.95-3.98×2.40,951.72
1763842,ROUND,0.23,VS2,E,EX,EX,EX,N,3.99-4.01×2.38,951.72
1763839,ROUND,0.23,VS2,E,EX,EX,EX,N,3.94-3.97×2.40,951.72
1728155,ROUND,0.23,VS1,F,EX,EX,EX,N,4.01-4.04×2.41,951.72
1701458,ROUND,0.23,VS1,F,EX,EX,EX,N,4.03-4.04×2.39,951.72
1592360,ROUND,0.23,VS1,F,EX,EX,EX,N,4.00-4.03×2.38,951.72
1586179,ROUND,0.23,VS1,E,EX,EX,EX,N,3.93-3.95×2.44,951.72
1586146,ROUND,0.23,VS1,E,EX,EX,EX,N,3.97-3.99×2.40,951.72
1586166,ROUND,0.23,VS1,E,EX,EX,EX,N,3.94-3.96×2.47,951.72
1627029,ROUND,0.23,VS1,E,EX,EX,EX,N,3.93-3.94×2.44,951.72
1645390,ROUND,0.23,VS1,E,EX,EX,EX,N,4.02-4.03×2.38,951.72
1586149,ROUND,0.23,VS1,E,EX,EX,EX,N,3.94-3.96×2.46,951.72
1586189,ROUND,0.23,VS1,E,EX,EX,EX,N,3.92-3.94×2.44,951.72
1586161,ROUND,0.23,VS1,E,EX,EX,EX,N,3.93-3.95×2.48,951.72
1506803,ROUND,0.24,VVS2,F,EX,EX,EX,F,4.00-4.02×2.47,"1,040.04"
1618589,ROUND,0.24,VVS2,F,EX,EX,EX,N,4.01-4.04×2.48,"1,040.04"
1586277,ROUND,0.24,VVS2,F,EX,EX,EX,N,4.01-4.03×2.47,"1,040.04"
1655367,ROUND,0.24,VVS2,F,EX,EX,EX,N,4.06-4.07×2.42,"1,040.04"
1674015,ROUND,0.24,VVS2,F,EX,EX,EX,N,4.00-4.01×2.46,"1,040.04"
1576883,ROUND,0.24,VVS1,D,EX,EX,EX,N,3.99-4.01×2.47,"1,040.04"
1592535,ROUND,0.24,VVS1,D,EX,EX,EX,N,3.98-4.01×2.44,"1,040.04"
1611136,ROUND,0.24,VVS2,D,EX,EX,EX,N,4.01-4.05×2.42,"1,040.04"
1655317,ROUND,0.24,VVS2,D,EX,EX,EX,N,4.04-4.05×2.41,"1,040.04"
1655318,ROUND,0.24,VVS2,D,EX,EX,EX,N,4.00-4.03×2.45,"1,040.04"
1789806,ROUND,0.32,SI2,E,EX,EX,EX,F,4.50-4.53×2.69,"1,040.04"
1790778,ROUND,0.31,VS1,J,EX,EX,EX,N,4.39-4.42×2.66,"1,040.08"
1766599,ROUND,0.35,VVS2,J,EX,EX,EX,M,4.53-4.57×2.81,"1,040.18"
1792606,ROUND,0.3,SI1,F,EX,VG,EX,N,4.29-4.32×2.64,"1,040.20"
1792603,ROUND,0.3,SI1,F,EX,EX,VG,N,4.40-4.42×2.57,"1,040.20"
1655327,ROUND,0.25,VVS2,E,EX,EX,EX,N,4.01-4.04×2.47,"1,043.56"
1655326,ROUND,0.25,VVS2,E,EX,EX,EX,N,4.03-4.06×2.50,"1,043.56"
1592435,ROUND,0.25,VVS2,E,EX,EX,EX,N,4.02-4.05×2.51,"1,043.56"
1592396,ROUND,0.25,VVS2,F,VG,EX,EX,N,4.01-4.04×2.50,"1,043.56"
1586234,ROUND,0.25,VVS2,F,EX,EX,EX,N,4.04-4.06×2.52,"1,043.56"
1694069,ROUND,0.25,VVS2,F,EX,EX,EX,N,4.02-4.03×2.49,"1,043.56"
1586242,ROUND,0.25,VVS2,F,EX,EX,EX,N,4.02-4.04×2.53,"1,043.56"
1586114,ROUND,0.26,VS1,E,EX,EX,EX,N,4.11-4.13×2.58,"1,043.63"
1602671,ROUND,0.26,VS2,E,EX,EX,EX,N,4.08-4.12×2.56,"1,043.63"
1602649,ROUND,0.26,VS1,F,EX,EX,EX,N,4.06-4.09×2.56,"1,043.63"
1602647,ROUND,0.26,VS1,F,EX,EX,EX,N,4.08-4.12×2.54,"1,043.63"
1791603,ROUND,0.35,VS1,J,EX,EX,EX,F,4.50-4.52×2.82,"1,043.69"
1769446,ROUND,0.31,SI2,E,EX,EX,EX,N,4.36-4.38×2.71,"1,043.76"
1799543,ROUND,0.3,SI1,F,VG,EX,VG,N,4.24-4.29×2.69,"1,044.25"
1799541,ROUND,0.3,SI1,F,VG,EX,VG,N,4.22-4.27×2.67,"1,044.25"
1763548,ROUND,0.3,VS1,E,VG,EX,GD,N,4.29-4.34×2.58,"1,025.00"
1658774,ROUND,0.5,SI2,M,EX,EX,EX,M,5.08-5.11×3.12,"1,025.40"
1777292,ROUND,0.3,SI1,G,EX,EX,VG,N,4.30-4.31×2.69,"1,025.51"
1758115,ROUND,0.3,VS2,I,EX,VG,EX,N,4.25-4.28×2.65,"1,025.51"
1759230,ROUND,0.36,SI2,D,VG,GD,GD,N,4.53-4.57×2.76,"1,025.56"
1655392,ROUND,0.26,VS1,E,EX,EX,EX,N,4.14-4.15×2.48,"1,025.59"
1655404,ROUND,0.26,VS1,F,EX,EX,EX,N,4.12-4.15×2.55,"1,025.59"
1655405,ROUND,0.26,VS1,F,EX,EX,EX,N,4.08-4.09×2.55,"1,025.59"
1618645,ROUND,0.26,VS1,F,EX,EX,EX,N,4.13-4.15×2.54,"1,025.59"
1723579,ROUND,0.3,SI1,E,EX,EX,VG,N,4.24-4.30×2.66,"1,026.02"
1775142,ROUND,0.3,SI1,H,EX,EX,VG,N,4.31-4.33×2.63,"1,026.02"
1772351,ROUND,0.3,VS1,I,EX,VG,VG,N,4.30-4.34×2.63,"1,026.51"
1795556,ROUND,0.3,SI2,E,EX,EX,EX,N,4.30-4.31×2.64,"1,027.01"
1802265,ROUND,0.3,SI2,E,EX,EX,EX,N,4.23-4.26×2.65,"1,027.01"
1778397,ROUND,0.3,SI1,F,EX,VG,EX,N,4.28-4.30×2.67,"1,027.01"
1758157,ROUND,0.3,SI1,J,VG,GD,GD,F,4.13-4.18×2.68,834.91
1792955,ROUND,0.3,VS1,K,VG,EX,VG,N,4.17-4.23×2.69,835.37
1618306,ROUND,0.5,SI2,M,GD,EX,EX,F,4.87-4.91×3.20,836.02
1721726,ROUND,0.2,VS1,E,EX,EX,EX,N,3.79-3.81×2.26,836.2
1721726,ROUND,0.2,VS1,E,EX,EX,EX,N,3.79-3.81×2.26,836.2
1784862,ROUND,0.3,VS2,J,VG,VG,GD,M,4.25-4.31×2.64,836.89
1762653,ROUND,0.3,VS1,L,EX,EX,EX,N,4.29-4.32×2.66,836.94
1728145,ROUND,0.18,IF,E,EX,EX,EX,N,3.69-3.72×2.17,837.19
1655281,ROUND,0.18,IF,E,EX,EX,EX,N,3.64-3.66×2.20,837.19
1627002,ROUND,0.18,IF,E,EX,EX,EX,N,3.59-3.61×2.25,837.19
1655282,ROUND,0.18,IF,E,EX,EX,EX,N,3.63-3.65×2.24,837.19
1728145,ROUND,0.18,IF,E,EX,EX,EX,N,3.69-3.72×2.17,837.19
1655281,ROUND,0.18,IF,E,EX,EX,EX,N,3.64-3.66×2.20,837.19
1627002,ROUND,0.18,IF,E,EX,EX,EX,N,3.59-3.61×2.25,837.19
1655282,ROUND,0.18,IF,E,EX,EX,EX,N,3.63-3.65×2.24,837.19
1768701,ROUND,0.3,VS2,F,EX,EX,EX,N,4.26-4.30×2.64,"1,123.92"
1768674,ROUND,0.3,VS2,F,EX,EX,EX,N,4.33-4.35×2.60,"1,123.92"
1767766,ROUND,0.3,VS2,F,EX,EX,EX,N,4.31-4.33×2.66,"1,123.92"
1777183,ROUND,0.3,VS1,G,VG,EX,VG,N,4.24-4.29×2.67,"1,123.92"
1789633,ROUND,0.3,VS1,D,VG,EX,VG,N,4.25-4.28×2.67,"1,123.92"
1792390,ROUND,0.3,VS1,D,VG,GD,VG,N,4.27-4.31×2.67,"1,123.92"
